Course Code,Course Title,Instructor
BIOS 534,Machine Learning,Instructor:Qin/Pittard
BMI 510,Biostatistics for Machine Learning,Instructor:J. McKay
BMI 534,Introduction to Machine Learning,Instructor:H. Kwon
CS 534,Machine Learning,Instructor:H. Kwon
DATA 534,Applied Machine Learning,Instructor:M. Lau
BIOS 761,Causal Inference,Instructor:D. Benkeser
DATA 521,Database Development for Public Health,N/A
ECON 520,Data Sciences for Economics,Instructor:P. Sant'Anna
EPI 760,Causal Inference,Instructor:D. Benkeser
QTM 521,Applied II,Instructor:Glynn/Sutherland
QTM 531,Computing II,Instructor:A. Sanchez Becerra
